1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2,2555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111,111111
13,1,2,3,4,5,6,7,8,9,10,0,0,0,0,0,0,0,0,0,0
14,2,0,0,0.03,0.04,0,0.96,0,0,0.0012,0,0,0,0,0,0,0,0,0,0
15,3,0.246575342,90,0.03,0.04,0,0.96,0,0,0.0012,0,0,0,0,0,0,0,0,0,0
16,4,1,365,0.03,0.08,0,0.92,0,0,0.0024,0,0,0,0,0,0,0,0,0,0
17,5,2,730,0.03,0.12,0,0.88,0,0,0.0036,0,0,0,0,0,0,0,0,0,0
18,6,3,1095,0.03,0.16,0,0.84,0,0,0.0048,0,0,0,0,0,0,0,0,0,0
19,7,4,1460,0.03,0.16,0,0.84,0,0,0.0048,0,0,0,0,0,0,0,0,0,0
20,8,5,1825,0.03,0.16,0,0.84,0,0,0.0048,0,0,0,0,0,0,0,0,0,0
21,9,6,2190,0.03,0.16,0,0.84,0,0,0.0048,0,0,0,0,0,0,0,0,0,0
22,10,7,2555,0.03,0.16,0,0.84,0,0,0.0048,0,0,0,0,0,0,0,0,0,0
23,11,8,2920,0.03,0.16,0,0.84,0,0,0.0048,0,0,0,0,0,0,0,0,0,0
24,12,9,3285,0.03,0.16,0,0.84,0,0,0.0048,0,0,0,0,0,0,0,0,0,0
25,13,10,3650,0.03,0.24,0,0.76,0,0,0.0072,0,0,0,0,0,0,0,0,0,0
